Journal of Avian Biology, JAB
Auk, auk
Ibis, ibis
Journal of Ornithology, JOO
Bird Conservation International, BCI
Avian Conservation and Ecology, ACE
Journal of Field Ornithology, JFO
Ornis Fennica, OF
Ardeola, Ard
Bird Study, BS
Emu, Emu
Avian Research, AR
Acta Ornithologica, AO
Ardea, Ardea
Avian Biology Research, ABR
Journal of Raptor Research, JRR
Waterbirds, Waterbirds
Ostrich, Ostrich
Revista Brasileira de Ornitologia, RBO
Wilson Journal of Ornithology, WJO
Ornithological Science, OS
Notornis, Not
Forktail,Fork
Ornitologia Neotropical, ON
